INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at mext.maou.v2.ai.MonsterAI.die(MonsterAI.java:343)
INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at mext.maou.v2.requests.aqw.GetAction.process(GetAction.java:162)
INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at mext.maou.v2.EnteIsla.handleRequest(EnteIsla.java:189)
INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.processEvent(ExtensionHandler.java:535)
INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.run(ExtensionHandler.java:344)
INFO   | jvm 1    | 2013/11/04 00:08:52 | 	at java.lang.Thread.run(Thread.java:724)
INFO   | jvm 1    | 2013/11/04 00:09:08 | [ SEVERE ][ RemoveAura.run ] >> User null during remove aura.
INFO   | jvm 1    | 2013/11/04 00:09:27 | [ SEVERE ][ UserCommands.process ] >> Unknown command: mute params: [mute, 2, master asa]
INFO   | jvm 1    | 2013/11/04 00:09:32 | Exception type: java.lang.RuntimeException
INFO   | jvm 1    | 2013/11/04 00:09:32 | java.lang.RuntimeException: The update query returned false, an error might have occured.
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at mext.maou.v2.helpers.Database.asyncExecute(Database.java:37)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at mext.maou.v2.helpers.Users.giveRewards(Users.java:937)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at mext.maou.v2.ai.MonsterAI.die(MonsterAI.java:343)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at mext.maou.v2.requests.aqw.GetAction.process(GetAction.java:162)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at mext.maou.v2.EnteIsla.handleRequest(EnteIsla.java:189)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.processEvent(ExtensionHandler.java:535)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.run(ExtensionHandler.java:344)
INFO   | jvm 1    | 2013/11/04 00:09:32 | 	at java.lang.Thread.run(Thread.java:724)
INFO   | jvm 1    | 2013/11/04 00:09:34 | Exception type: java.lang.RuntimeException
INFO   | jvm 1    | 2013/11/04 00:09:34 | java.lang.RuntimeException: The update query returned false, an error might have occured.
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at mext.maou.v2.helpers.Database.asyncExecute(Database.java:37)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at mext.maou.v2.helpers.Users.giveRewards(Users.java:937)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at mext.maou.v2.ai.MonsterAI.die(MonsterAI.java:343)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at mext.maou.v2.requests.aqw.GetAction.process(GetAction.java:162)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at mext.maou.v2.EnteIsla.handleRequest(EnteIsla.java:189)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.processEvent(ExtensionHandler.java:535)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at it.gotoandplay.smartfoxserver.controllers.ExtensionHandler.run(ExtensionHandler.java:344)
INFO   | jvm 1    | 2013/11/04 00:09:34 | 	at java.lang.Thread.run(Thread.java:724)
